Situation,Symptoms,Severity,FirstAidSteps,Medicines,EmergencyTriggers,Warnings
Choking (Infant under 1 year),sudden silence inability to cry weak ineffective cough turning blue cyanosis around lips no air movement bluish face and lips foreign object food lodged in infant airway respiratory distress,Life-Threatening,"Call emergency services immediately; Hold infant face-down on forearm, support head; Give 5 firm back blows between shoulder blades with heel of hand; Turn infant face-up; give 5 chest thrusts (2 fingers on center of chest, just below nipple line); Alternate 5 back blows and 5 chest thrusts; If infant becomes unconscious, begin infant CPR",No medicines — physical intervention only,Always — infant choking is always an emergency,NEVER perform abdominal thrusts on infants. Hold infant at downward angle for back blows. Shout for help immediately.
Cardiac Arrest,sudden collapse unresponsive no breathing no pulse unconscious no sign of life skin ashen or blue lips cyanotic no reaction to stimulation sudden death witnessed collapse,Life-Threatening,"Call emergency services immediately; Ensure scene is safe; Begin CPR: 30 chest compressions at 100–120 per minute (compress 5–6 cm deep on adults); Give 2 rescue breaths after every 30 compressions (trained rescuers); If untrained, perform hands-only CPR (continuous compressions); Use AED (Automated External Defibrillator) as soon as available — follow voice instructions; Continue until emergency services arrive or person recovers","AED (Automated External Defibrillator), No medicines in pre-hospital setting",Always — call 999/911/112 immediately,"Hands-only CPR (no rescue breaths) is effective for untrained bystanders. Do NOT stop CPR unless person shows signs of life, you are physically unable to continue, or qualified help takes over. AEDs are safe and easy to use."
Heart Attack,severe chest pain pressure tightness crushing sensation radiating to left arm jaw neck back shortness of breath sweating nausea dizziness anxiety feeling of impending doom pale skin,Life-Threatening,"Call emergency services immediately; Have the person sit or lie down in a comfortable position; Loosen tight clothing; If conscious and not allergic, give one adult aspirin (300mg) to chew — NOT swallow whole; Monitor breathing and consciousness; Prepare to begin CPR if person becomes unconscious; Reassure and keep calm","Aspirin 300mg (chew — NOT for those allergic or with recent GI bleeding), GTN (glyceryl trinitrate) spray/tablet if prescribed by doctor",Always — suspected heart attack is always an emergency,"Symptoms: chest pain/pressure, pain radiating to arm/jaw/back, shortness of breath, sweating, nausea. Do NOT give Aspirin if person is allergic or under 16. Aspirin is for heart attack — NOT stroke."
Stroke,sudden face drooping arm weakness speech slurred sudden confusion trouble walking loss of balance severe sudden headache vision loss in one or both eyes facial asymmetry FAST signs,Life-Threatening,"Use the FAST test: Face drooping, Arm weakness, Speech difficulty, Time to call emergency; Call emergency services immediately; Keep person calm and still; Do NOT give food or water — swallowing may be affected; Note the time symptoms started; If unconscious, place in recovery position; Begin CPR if they stop breathing",No medicines in pre-hospital setting — hospital will administer thrombolytics if appropriate,Always — stroke is always a medical emergency. Time is brain.,"Do NOT give Aspirin for stroke — if the stroke is hemorrhagic (bleeding), Aspirin will make it worse. 'Time is brain' — every minute counts. Record the exact time symptoms started."
Diabetic Hypoglycemia (Low Blood Sugar),shakiness trembling sweating rapid heartbeat palpitations dizziness hunger confusion irritability pale skin blurred vision weakness fainting low blood glucose below 3.9 mmol/L,Moderate to Severe,"Recognize symptoms: shakiness, sweating, confusion, paleness, dizziness, fast heartbeat; If conscious: Give 15–20g of fast-acting sugar — 4 glucose tablets, half cup of fruit juice, or regular (non-diet) soda, or 3–4 teaspoons of sugar; Rest for 15 minutes, then recheck blood sugar; If no improvement, repeat sugar dose; Once improved, give a snack with complex carbs (crackers, bread); If unconscious — do NOT give anything by mouth; call emergency services","Glucose tablets (dextrose), Glucagon injection kit (for unconscious patients — prescription), Fruit juice / regular soda / sugar, Glucose gel","Person is unconscious or cannot swallow, No improvement after two doses of sugar, Blood sugar remains below 3.9 mmol/L (70 mg/dL)","Do NOT give food or liquid to an unconscious person — risk of choking/aspiration. If glucagon is available and person is unconscious, administer it. Place unconscious person in recovery position."
Diabetic Hyperglycemia (High Blood Sugar),excessive thirst frequent urination fatigue blurred vision headache slow healing wounds fruity breath acetone smell nausea abdominal pain high blood glucose above 11 mmol/L,Moderate,"Have person drink plenty of water (if conscious) to help flush excess glucose; If person takes insulin — they may need to take their prescribed dose (consult their care plan); Encourage gentle activity if blood sugar is mildly elevated; Monitor blood sugar levels; Check for signs of diabetic ketoacidosis (DKA): fruity breath, deep labored breathing, confusion","Insulin (if prescribed — patient-specific), Water / fluids","Blood sugar above 13.9 mmol/L (250 mg/dL) and worsening, Signs of DKA, Fruity odor on breath, Confusion or loss of consciousness, Vomiting","Do NOT adjust insulin dose without medical guidance. DKA is a medical emergency. If unsure whether hypoglycemia or hyperglycemia — if conscious, giving sugar is safer than withholding."
Drowning / Near-Drowning,water in lungs coughing choking unconscious in water no breathing blue lips cyanosis altered consciousness after water immersion vomiting after rescue respiratory distress secondary drowning risk,Life-Threatening,"Ensure your own safety before entering water; Call emergency services immediately; Remove person from water carefully; Check for breathing and pulse; If not breathing, begin CPR immediately: 5 initial rescue breaths, then standard CPR (30:2); Keep the person warm — dry clothing, blanket; Even if person recovers, always seek emergency medical care","CPR equipment, Warming blanket, Oxygen (emergency services)",Always — all near-drowning incidents require emergency care and hospital evaluation,Secondary drowning can occur hours after the incident — always go to hospital even if person seems fine. Do NOT attempt to remove water from the lungs — focus on ventilation. Hypothermia may accompany drowning.
Heat Stroke,body temperature above 40 degrees Celsius hot dry skin no sweating confusion agitation slurred speech loss of consciousness rapid strong pulse flushed red skin heat emergency organ failure risk,Life-Threatening,"Call emergency services immediately; Move person to cool, shaded area; Remove excess clothing; Cool rapidly: apply cool water to skin, fan the person, apply ice packs to neck, armpits, and groin; If conscious, offer cool water to sip; Do NOT give fever-reducing medicines; Monitor breathing and consciousness","Ice packs, Cool water, Cooling blanket, IV fluids (hospital)",Always — heat stroke is a medical emergency with potential for organ damage,Do NOT give Paracetamol or Ibuprofen for heat stroke — they are ineffective and may worsen organ damage. Core body temperature above 40°C (104°F) is a medical emergency. Rapid cooling is the priority.
Heat Exhaustion,heavy sweating cool pale clammy skin rapid weak pulse nausea vomiting muscle cramps weakness dizziness headache fainting after prolonged heat exposure dehydration salt loss,Moderate,"Move person to cool, shaded environment; Lay down with legs elevated; Remove excess clothing; Give cool water or sports drinks (if conscious); Apply cool, wet cloths to skin; Fan the person; Seek medical attention if symptoms worsen","Cool water / sports drinks (electrolytes), Cool compresses, ORS","Symptoms worsen or do not improve within 30 minutes, Person becomes confused or loses consciousness, Suspected heat stroke","Heat exhaustion can progress to heat stroke — monitor closely. Avoid alcohol, caffeine, and sugary drinks. Rest and cool environment are key."
Hypothermia,core body temperature below 35 degrees shivering intense cold skin pale blue lips confusion slurred speech stumbling loss of coordination drowsiness rigid muscles weak pulse slow breathing,Life-Threatening,"Call emergency services; Move to warm, dry environment; Remove wet clothing; Warm gradually — use blankets, warm (not hot) drinks if conscious, body heat; Apply warm (not hot) compresses to armpits, groin, and neck; Do NOT rub skin vigorously — can cause cardiac arrhythmia; If unconscious, begin CPR if needed","Warm blankets, Warm (not hot) drinks for conscious patients, IV warm fluids (hospital), No specific OTC medicines","Always for severe hypothermia (temperature below 32°C/90°F), If unconscious or shivering stops, Suspected cardiac arrhythmia","Do NOT rub or massage cold limbs — can trigger dangerous heart rhythms. Do NOT give alcohol. Rewarming too fast can cause 'rewarming shock'. Even after rescue, heart may still be at risk."
Frostbite,frozen white or grayish-yellow skin hard numb cold extremities waxy appearance fingers toes ears nose affected pins and needles tingling before numbness blistering after rewarming,Moderate to Severe,Move to warm environment; Remove wet clothing and jewelry; Do NOT walk on frostbitten feet; Rewarm affected areas in warm (not hot) water (37–40°C/99–104°F) for 15–30 minutes; Do NOT rub frostbitten areas; Apply loose sterile dressing after rewarming; Give pain relief as rewarming is painful,"Ibuprofen (reduces inflammation), Sterile gauze dressings, Warm water for rewarming","Always for severe frostbite (blisters, blackened tissue, loss of sensation), Suspected deep frostbite",Do NOT rewarm if there is a risk of refreezing — thaw-refreeze cycle causes more damage. Do NOT rub or massage. Do NOT break blisters. Alcohol and smoking worsen frostbite — avoid.
Eye Injury (Chemical Splash),severe burning eye pain chemical splash to eye redness tearing involuntary blinking inability to open eye corneal damage blurred vision after chemical acid alkali contact,Severe,Flush the eye immediately with large amounts of clean water or saline for at least 20–30 minutes; Hold eye open during irrigation; Remove contact lenses before or during flushing; Call emergency services or go to emergency room; Do NOT rub the eye; Keep irrigating on the way to hospital,"Sterile eye wash / saline, Eye irrigation bottle",Always — chemical eye injuries are emergencies,"Time is critical — immediate flushing significantly improves outcomes. Alkaline burns (e.g., cement, oven cleaner) are more serious than acid burns and require longer irrigation."
Eye Injury (Foreign Object),sensation of something in eye excessive tearing redness pain when blinking scratchy feeling foreign body dust metal glass splinter visible on eye surface blurred vision,Minor to Moderate,"Do NOT rub the eye; Try to blink rapidly — tears may flush out the object; Gently pull upper eyelid over lower eyelid; Flush with clean water or sterile saline; If object is on white of eye and visible, try gently removing with corner of damp clean cloth; If object is on cornea or embedded — cover eye loosely and go to hospital","Sterile eye wash / saline, Eye irrigation","Object is embedded in the eye, Object is on the cornea, Severe pain or vision changes, Chemical or metal splash",Do NOT attempt to remove embedded objects — cover the eye and seek medical help. Do NOT rub the eye. Metal fragments from grinding may cause rust rings requiring surgical removal.
Seizure / Convulsions,sudden loss of consciousness rhythmic jerking movements tonic-clonic muscle rigidity uncontrolled shaking eye rolling frothing at mouth tongue biting bladder loss postictal confusion after seizure,Moderate to Severe,"Keep calm; Clear the area of hard/sharp objects to prevent injury; Cushion the head with something soft; Place person on their side (recovery position) to prevent choking on saliva; Time the seizure; Do NOT restrain the person or put anything in their mouth; Stay with them until fully conscious; When convulsions stop, reassure the person calmly","Rectal diazepam (if prescribed for known epilepsy), Buccal midazolam (prescribed), No OTC medicine for seizures","First ever seizure, Seizure lasts more than 5 minutes, Multiple seizures without recovery between them, Seizure in water, Injury occurs during seizure, Person is pregnant, Person has diabetes","Do NOT put anything in the person's mouth — people cannot swallow their tongue during seizures. Do NOT restrain. After seizure, person may be confused (postictal state) — this is normal."
Fracture / Broken Bone,intense localized bone pain swelling bruising deformity crepitus grating sensation inability to move limb abnormal position limb shortening visible bone open fracture tenderness on palpation,Moderate to Severe,"Keep the person still; Do NOT try to straighten the bone; Immobilize the injured area with a splint or sling (using rolled newspaper, cardboard, or clothing); Apply ice pack wrapped in cloth to reduce swelling; Elevate the injured limb if possible; Treat for shock if needed (lay flat, keep warm); Seek emergency medical care","Ice pack, Splint/sling material, Paracetamol or Ibuprofen (for pain), Triangular bandage","Suspected fracture of spine, pelvis, or thigh, Open fracture (bone visible through skin), Significant deformity, Numbness or loss of circulation below fracture, Multiple fractures",Do NOT move a person with suspected spinal injury unless in immediate danger. Open fractures carry high risk of infection. Do NOT attempt to push bone back in.
Sprain / Strain,joint pain swelling bruising around joint limited range of motion tenderness on touch instability of joint muscle pull overstretching ligament damage ankle wrist knee sprain,Minor,"Follow PRICE: Protect, Rest, Ice, Compression, Elevation; Rest the injured area — avoid activity; Apply ice pack (wrapped in cloth) for 15–20 minutes every 2 hours; Apply compression bandage — not too tight; Elevate the limb above heart level; Take pain relief if needed; Seek medical care if pain is severe or no improvement in 24–48 hours","Ice pack, Compression bandage, Paracetamol or Ibuprofen, Topical pain-relief gel (Diclofenac gel)","Significant swelling or deformity (may indicate fracture), Inability to bear weight, Severe pain, Numbness or tingling",Applying ice directly to skin causes ice burns — always wrap in cloth. Do NOT apply heat in the first 48 hours. PRICE method is the standard for sprains.
Dislocation,visible joint deformity intense pain inability to move joint swelling bruising joint out of normal position shoulder hip elbow kneecap displaced locked joint numbness below dislocation,Severe,"Call emergency services or go to emergency room; Immobilize the joint in the position found — do NOT attempt to relocate; Apply ice pack wrapped in cloth; Support the dislocated limb with padding/pillows; Monitor circulation: check pulse, sensation, and color below the dislocation; Treat for shock if needed","Ice pack, Immobilization support, Pain relief (hospital-administered), NSAIDs after reduction",Always — dislocation requires professional medical reduction,"NEVER attempt to reduce (put back) a dislocation yourself — risk of nerve, blood vessel, and bone damage. Loss of sensation or circulation is an emergency."
Back / Spinal Injury,severe back pain neck pain after trauma numbness tingling in limbs weakness paralysis loss of bladder or bowel control tenderness along spine pain radiating down legs,Critical,"Call emergency services immediately; Do NOT move the person unless there is immediate danger (fire, drowning); Keep the person still — tell them not to move; Support head and neck in position found; If movement is essential, use log-roll technique (at least 3 people); Monitor breathing; Begin CPR if needed without moving the spine","Cervical collar (if trained), Spine board (emergency services)",Always if spinal injury is suspected,Spinal injury can cause permanent paralysis if mishandled. Never move a suspected spinal injury victim unless absolutely necessary for safety. Do NOT remove a motorcycle helmet if spinal injury is suspected.
Poisoning (Ingested),nausea vomiting abdominal cramps diarrhea drooling altered consciousness confusion dizziness burns around mouth chemical taste on lips unknown substance swallowed household product medication overdose plant ingestion,Severe,"Call emergency services or Poison Control Center immediately; Keep the person calm and conscious; If person vomits, prevent choking by turning on side; Identify the substance if possible — keep the container; Do NOT give anything to eat/drink unless advised by Poison Control; Do NOT induce vomiting unless specifically instructed by Poison Control","Activated charcoal (hospital/Poison Control directed only), Specific antidotes (hospital), No OTC self-treatment",Always — call Poison Control or emergency services immediately,Do NOT induce vomiting — it can cause further damage with corrosives and increases risk of aspiration. Bring the poison container/packaging to the hospital. Keep Poison Control numbers accessible.
Poisoning (Inhaled),headache dizziness nausea after fume exposure coughing burning throat difficulty breathing confusion loss of consciousness chemical smell gas exposure carbon monoxide toxic fumes,Severe,"Move person to fresh air immediately — ensure your own safety first; Call emergency services; Loosen tight clothing; If breathing stops, begin CPR; Do NOT enter a confined space with fumes without protection; Identify the gas if possible","Oxygen (emergency services), CPR equipment, No OTC medicines",Always — inhaled poisoning is always an emergency,Carbon monoxide has no color or smell — install CO detectors at home. Rescuers can also become victims — do NOT enter enclosed spaces with toxic gases without proper protection.
